Yen sinks to fresh 24-year low vs U.S. dollar - CNBC;https://www.cnbc.com/2022/06/21/forex-markets-japanese-yen-australia-dollar-interest-rate-inflation.html
Yen drops to fresh 24-year low vs U.S. dollar - Reuters;https://www.reuters.com/markets/us/aussie-dlr-edges-up-rba-reaffirms-more-hikes-ahead-yen-struggles-2022-06-21/
BOJ policymakers warned of economic harm from excess yen moves at April meet - Reuters;https://www.reuters.com/markets/currencies/boj-debated-weak-yen-warned-harm-excess-moves-april-minutes-2022-06-22/
Yen tanks as FX market adjusts to central bank rate decisions - CNBC;https://www.cnbc.com/2022/06/17/forex-markets-japanese-yen-dollar-bank-of-japan.html
Kishida critics seize on weak yen in Japan upper house election - Al Jazeera English;https://www.aljazeera.com/economy/2022/6/22/kishida-critics-seize-on-weak-yen-in-japan-upper-house-election
Japan edges closer to intervention in yen - Reuters;https://www.reuters.com/markets/currencies/japan-edges-closer-intervention-yen-after-rare-govt-cbank-joint-statement-2022-06-10/
Weak Japanese Currency (JPY) Threatens 100-Yen Shops as Costs Rise - Bloomberg;https://www.bloomberg.com/news/articles/2022-06-16/weak-yen-may-pose-an-existential-threat-to-japan-s-100-yen-shops
U.S. stocks jump 2% after recent selloff; yen drops vs dollar - Reuters;https://www.reuters.com/markets/europe/global-markets-wrapup-1-2022-06-21/
Don’t Sleep on Japan Exposure: Why the Yen’s Weakness Benefits Corporations - ETF Trends;https://www.etftrends.com/model-portfolio-channel/dont-sleep-on-japan-exposure-why-the-yens-weakness-benefits-corporations/
Nearly half of Japan firms see weak yen as bad for business, survey shows - Reuters;https://www.reuters.com/markets/currencies/nearly-half-japan-firms-see-weak-yen-bad-business-survey-2022-06-14/
Japanese Yen Might Change the Trend - Benzinga - Benzinga;https://www.benzinga.com/22/06/27797806/japanese-yen-might-change-the-trend
Japan’s Suzuki: Concerned about recent sharp yen weakening - FXStreet;https://www.fxstreet.com/news/japans-suzuki-concerned-about-recent-sharp-yen-weakening-202206210312
Dollar dips as stocks advance; hits 2-decade high vs yen - CNBC;https://www.cnbc.com/2022/06/07/forex-markets-dollar-japanese-yen-reserve-bank-of-australia.html
Yen sinks to fresh 24-year low vs US dollar - SaltWire PEI powered by The Guardian;https://www.saltwire.com/prince-edward-island/business/yen-sinks-to-fresh-24-year-low-vs-us-dollar-100745814/
Yen Becomes Weapon for Kishida's Foes in Japan Vote - Bloomberg;https://www.bloomberg.com/news/videos/2022-06-22/yen-becomes-weapon-for-kishida-s-foes-in-japan-vote
Dollar higher as risky assets tumble; yen rebounds from 1998 lows - CNBC;https://www.cnbc.com/2022/06/13/forex-markets-dollar-treasury-yield-japanese-yen-inflation.html
The Incredible Sinking Yen - The Wall Street Journal;https://www.wsj.com/articles/the-incredible-sinking-yen-japan-haruhiko-kuroda-dollar-11655153653
Japanese Yen Sinks Again as Momentum Re-Ignites Bulls. New Highs for USD/JPY? - DailyFX;https://www.dailyfx.com/forex/technical/article/special_report/2022/06/20/Japanese-Yen-Sinks-Again-as-Momentum-Re-Ignites-Bulls.-New-Highs-for-USDJPY.html
Yen's Freefall Triggers Rush to Buy Among Asia's Amateur Traders - Bloomberg;https://www.bloomberg.com/news/articles/2022-06-16/yen-s-freefall-triggers-rush-to-buy-among-asia-s-amateur-traders
Japan's weaker yen a blessing to some, burden for others - The Associated Press - en Español;https://apnews.com/article/travel-japan-japanese-yen-46cdf6ecc41177ff78539ce40843c599
Yen weakness undermines Japan's growth outlook in 2022 - Economist Intelligence Unit;https://www.eiu.com/n/yen-weakness-undermines-japans-growth-outlook-in-2022/
Japanese Yen Expected to Weaken Further, CBA Says - Bloomberg;https://www.bloomberg.com/news/videos/2022-06-09/yen-expected-to-weaken-further-cba-strategist-says-video
Yen Bounces 3% From Two-Decade Low as Growth Fears Intensify - Bloomberg;https://www.bloomberg.com/news/articles/2022-05-25/yen-bounces-3-from-two-decade-low-as-growth-fears-intensify
Yen Tumbles to 24-Year Low, Prompting a BOJ Warning - Bloomberg;https://www.bloomberg.com/news/videos/2022-06-13/yen-tumbles-to-24-year-low-prompting-a-boj-warning
Tokyo stocks open higher after yen hits new 24-year low vs. dollar - Nippon.com;https://www.nippon.com/en/news/kd912139329084964864/tokyo-stocks-open-higher-after-yen-hits-new-24-year-low-vs-dollar.html
